life_zone,band,rank,complex_id,name,composite,top3_share,volume,crash_rel,lead,explain
Z41135-대장동,84,3,5302,판교퍼스트힐푸르지오아파트,0.4,1.0,14.8333,-0.0971,-0.0391,0.8454
Z41150-호원동,84,1,5395,신일유토빌,0.8672,0.0667,18.6667,0.0441,0.1515,0.9147
Z41150-호원동,84,2,5391,신일유토빌플러스,0.7584,0.0333,4.4167,0.0648,0.1786,0.8879
Z41150-호원동,84,3,5331,의정부롯데캐슬골드파크2단지,0.7081,0.9,10.1667,0.0028,0.305,0.7623
Z41150-신곡동,84,1,5493,민락호반베르디움2차아파트,0.8247,0.0167,9.7917,0.0346,0.1596,0.9673
Z41150-신곡동,84,2,5472,민락호반베르디움1차,0.7866,0.7,29.7083,0.0076,0.2244,0.9239
Z41150-신곡동,84,3,5454,탑석센트럴자이아파트,0.7158,0.8,15.9167,0.1159,0.014,0.5773
Z41150-녹양동,84,1,5538,녹양힐스테이트,0.8,1.0,10.8333,-0.0352,0.1012,0.9552
Z41150-녹양동,84,2,5537,녹양휴먼시아4단지,0.4667,0.9667,3.4167,0.0352,0.154,0.8204
Z41150-녹양동,84,3,5536,녹양청구,0.4,0.1333,4.125,0.0542,-0.1127,0.9476
Z41171-안양동,84,1,5577,래미안안양메가트리아,0.7792,1.0,60.7083,-0.0184,0.2391,0.8616
Z41171-안양동,84,2,5642,한라비발디,0.7696,0.0,10.9583,0.0057,0.073,0.9507
Z41171-안양동,84,3,5640,박달벽산,0.6933,0.0,3.0833,0.1428,0.1364,0.7928
Z41173-호계동,84,1,8080,인덕원삼호,0.78,0.0,12.7083,0.0488,0.0671,0.9097
Z41173-호계동,84,2,8071,인덕원푸르지오 엘센트로아파트,0.7764,0.9,41.5833,0.0467,0.5697,0.6968
Z41173-호계동,84,3,5736,평촌더샵아이파크아파트,0.7642,0.0667,14.4167,-0.0237,0.2048,0.9267
Z41192-중동,84,1,5887,라일락마을대우유림아파트,0.783,0.0333,12.0,0.0235,0.0988,0.9332
Z41192-중동,84,2,5889,진달래마을(대림),0.7539,0.0,14.5833,0.0875,0.2437,0.8573
Z41192-중동,84,3,5821,중동센트럴파크푸르지오,0.7286,0.9667,15.25,-0.0107,0.3655,0.8376
Z41194-송내동,84,1,5976,중동역푸르지오,0.7584,0.0,10.5417,0.0539,0.1349,0.8837
Z41194-송내동,84,2,5926,소사SK-VIEW,0.7432,0.0167,21.75,-0.0281,0.0408,0.9492
Z41194-송내동,84,3,5921,부천소사역푸르지오,0.7063,0.5,12.5417,0.0383,0.1014,0.7982
Z41210-일직동,84,1,6132,광명역푸르지오아파트,0.6667,0.6296,5.4583,0.0183,0.2563,0.9719
Z41210-일직동,84,2,6130,광명역써밋플레이스,0.6667,0.9815,12.4583,0.0098,-0.0897,0.9663
