no,gu,biz_type,project,jibun,stage_now,slug,cafe_id,bsns_pk,안전진단,안전진단_approx,정비구역지정,정비구역지정_approx,추진위,추진위_approx,조합설립,조합설립_approx,사업시행인가,사업시행인가_approx,관리처분,관리처분_approx,착공,착공_approx,준공,준공_approx
758,동대문구,재개발(주택정비형),청량리제8구역 주택재개발정비사업조합,청량리동 435,관리처분인가,idtf7icb,230100009002S90,11230-100009002,,,,,,20060109,,20180711,,20240709,,20250925,,,,
757,동대문구,재개발(주택정비형),회기제1구역 주택재개발정비사업조합,회기동 62-34,이전고시,Lt58S9vM,,,,,,,,,,,,,,,,,,
756,동대문구,재개발(주택정비형),휘경제5 주택정비형 재개발구역,휘경동 43-188,추진위원회승인,gnlrud5,,,,,,,,,,,,,,,,,,
755,동대문구,재개발(주택정비형),휘경2재정비촉진구역 주택재개발정비사업조합,휘경동 128-12,조합해산,hwikyung2,230100006039R21,11230-100006039,,,,,,20110425,,20080918,,20130905,,20141113,20151211,,20190618,
754,동대문구,재개발(주택정비형),휘경3재정비촉진구역 주택재개발정비사업조합,휘경동 172,준공인가,hwikyung3,230100006045f81,11230-100006045,,,,,,20040623,,20081203,,20171026,,20191004,20220421,,20250626,
753,동대문구,재개발(주택정비형),휘경1재정비촉진구역 주택재개발정비사업조합,휘경동 243,조합해산,hwigyeong1,230100006040s05,11230-100006040,,,,,,20041111,,20100823,,20121031,,20160526,20170823,,20200227,
752,동작구,가로주택정비,노량진역 은하맨션 일대 가로주택정비사업 조합,노량진동 84-24,조합설립인가,galaxy84,590900001204n75,11590-900001204,,,,,,,,20240404,,,,,,,,
751,동작구,재개발(주택정비형),노량진제1구역 주택재개발 조합,노량진동 122-37,이전고시,pVW6p9Xa,,,,,,,,,,,,,,,,,,
750,동작구,재개발(주택정비형),노량진4재정비촉진구역 조합,노량진동 227-5,관리처분인가,noryangjin4,590100005006A58,11590-100005006,,,,,,20100628,,20150402,,20180430,,20221219,,,,
749,동작구,재개발(주택정비형),노량진3재정비촉진구역 조합,노량진동 232-19,관리처분인가,BVHWbKL5,590100001000n37,11590-100001000,,,,,,20041125,,20171229,,20210226,,20260225,,,,
748,동작구,재개발(주택정비형),노량진5재정비촉진구역 조합,노량진동 270-3,관리처분인가,noryangjin5,590100005002q31,11590-100005002,,,,,,20100226,,20160211,,20210226,,20230925,,,,
747,동작구,재개발(주택정비형),노량진6재정비촉진구역 조합,노량진동 294-220,착공,noryangjin6,590100005001a31,11590-100005001,,,,,,20100325,,20110317,,20140901,,20210125,20250627,,,
746,동작구,재개발(주택정비형),노량진2재정비촉진구역 조합,노량진동 312-75,착공,noryang2,590100005005B55,11590-100005005,,,,,,20100204,,20100624,,20140808,,20210308,20260105,,,
745,동작구,재개발(주택정비형),노량진1재정비촉진구역 조합,노량진동 278-2,관리처분인가,noryangin1,590100001001v55,11590-100001001,,,,,,20060713,,20171110,,20230307,,,,,,
744,동작구,지역주택,대방동 지역주택조합,대방동 11-103,조합설립인가,dbapt2009,590900000935u24,11590-900000935,,,,,,,,,,,,,,,,
743,동작구,재개발(주택정비형),노량진7재정비촉진구역 조합,대방동 13-31,관리처분인가,noryangjin7,590100010000S70,11590-100010000,,,,,,20110603,,20130207,,20170609,,20240507,,,,
742,동작구,지역주택,신대방삼거리역지역주택조합 추진위원회,대방동 391-63,조합원 모집신고,daebang391,590900001156u88,11590-900001156,,,,,,,,,,,,,,,,
