complex_id,complex_name,lawd_cd,gu,project,biz_type,stage,jibun,meters
1400,서울숲 아이파크 리버포레2차,11200,성동구,성수제1구역주택재건축정비사업조합,재건축,조합설립인가,성수동1가 656-1267,146.1
1388,한남하이츠,11200,성동구,한남하이츠아파트 주택재건축정비사업조합,재건축,사업시행인가,옥수동 220-1,103.0
1357,응봉대림1차,11200,성동구,응봉1 주택재건축정비사업 조합,재건축,관리처분인가,응봉동 193-162,149.3
1835,안암대광,11290,성북구,안암제1구역 주택재건축정비사업조합,재건축,조합설립인가,안암동3가 136-1,28.2
1854,정릉2차대주피오레,11290,성북구,정릉7 주택재건축정비사업 조합,재건축,사업시행인가,정릉동 506-159,50.7
1918,하월곡동신,11290,성북구,동신아파트소규모재건축정비사업,소규모재건축,분양,하월곡동 70-4,119.0
4270,가락현대6차,11710,송파구,가락현대6차아파트 가로주택정비사업,가로주택정비,조합설립인가,가락동 55,20.7
4272,가락우성1차,11710,송파구,가락우성1차아파트 재건축정비사업 조합,재건축,조합설립인가,가락동 96-1,70.2
4276,가락미륭아파트,11710,송파구,가락미륭아파트 재건축정비사업조합,재건축,관리처분인가,가락동 138,51.0
4277,가락쌍용1차,11710,송파구,가락쌍용1차아파트 리모델링주택조합,리모델링,조합설립인가,가락동 140,60.7
4264,가락현대5차,11710,송파구,가락현대5차아파트 소규모재건축정비사업조합,소규모재건축,준공인가,가락동 161-3,82.7
4279,삼환가락,11710,송파구,삼환가락아파트 재건축정비사업 조합,재건축,관리처분인가,가락동 176,131.4
4268,가락극동,11710,송파구,가락극동아파트 재건축사업 조합,재건축,사업시행인가,가락동 192,85.4
4361,거여5단지,11710,송파구,거여5단지아파트 리모델링주택조합,리모델링,,거여동 294,56.9
4291,가락1차현대아파트,11710,송파구,가락1차현대아파트 재건축정비사업 조합,재건축,사업시행인가,문정동 3,75.0
4292,문정건영,11710,송파구,문정건영아파트 리모델링주택조합,리모델링,지구단위계획수립/건축심의/교통심의,문정동 72-3,82.5
4294,문정시영,11710,송파구,문정시영아파트 리모델링 주택조합,리모델링,,문정동 145,65.8
4324,방이대림가락,11710,송파구,대림가락아파트 재건축정비사업조합,재건축,조합설립인가,방이동 217,116.2
4327,잠실한양3차,11710,송파구,한양3차아파트 재건축정비사업조합,재건축,관리처분인가,방이동 225,75.5
4255,송파한양2차,11710,송파구,송파동 100번지 일대 조합설립추진위원회,재건축,추진위원회승인,송파동 100,74.2
4252,한양아파트,11710,송파구,한양1차아파트 재건축정비사업,재건축,추진위원회승인,송파동 119,149.4
4255,송파한양2차,11710,송파구,송파한양2차아파트 재건축정비사업 조합,재건축,조합설립인가,송파동 151,164.1
4254,송파미성,11710,송파구,송파미성아파트 재건축정비사업조합,재건축,조합설립인가,송파동 161,144.0
4256,가락삼익맨숀,11710,송파구,가락삼익맨숀아파트 재건축정비사업 조합,재건축,관리처분인가,송파동 166,111.6
4249,래미안송파파인탑,11710,송파구,반도아파트 주택재건축정비사업 조합,재건축,조합해산,송파동 167,52.6
4214,잠실르엘,11710,송파구,잠실미성·크로바아파트 주택재건축정비사업조합,재건축,준공인가,신천동 17-6,90.1
4338,가락우창,11710,송파구,가락우창아파트 재건축정비사업,재건축,추진위원회승인,오금동 164,98.0
4343,상아2차아파트,11710,송파구,가락상아1차아파트 재건축사업 조합,재건축,관리처분인가,오금동 166,115.6
4212,잠실5단지아파트,11710,송파구,잠실5단지아파트 주택재건축정비사업조합,재건축,사업시행인가,잠실동 27,81.1
4211,잠실우성4차,11710,송파구,잠실우성4차 주택재건축정비사업조합,재건축,관리처분인가,잠실동 320,70.8
4242,풍납미성,11710,송파구,풍납미성아파트 재건축정비사업,재건축,추진위원회승인,풍납동 219,88.5
4232,강변현대아파트,11710,송파구,강변현대아파트 리모델링사업조합,리모델링,조합원 모집신고,풍납동 299-1,15.5
4233,풍납극동,11710,송파구,풍납극동아파트 재건축정비사업,재건축,추진위원회승인,풍납동 391,74.8
2846,"목동대원칸타빌2,3단지",11470,양천구,목원연립 주택재건축정비사업 조합,재건축,이전고시,목동 803-2,99.7
2854,목동2단지,11470,양천구,목동2단지아파트 재건축정비사업,재건축,조합설립인가,목동 902,183.4
2832,목동3단지,11470,양천구,목동3단지아파트 재건축정비사업,재건축,추진위원회승인,목동 903,183.4
2849,목동4단지,11470,양천구,목동4단지아파트 재건축정비사업,재건축,조합설립인가,목동 904,118.6
2850,목동5단지,11470,양천구,목동5단지아파트 재건축정비사업,재건축,조합설립인가,목동 912,183.0
2839,목동7단지,11470,양천구,목동7단지아파트 재건축정비사업조합,재건축,조합설립인가,목동 925,132.5
2868,방주기픈샘1차아파트,11470,양천구,신월2구역 주택재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,신월동 487-4,122.4
2908,신월시영아파트,11470,양천구,신월시영아파트 재건축정비사업,재건축,조합설립인가,신월동 987-1,21.8
2797,목동10단지,11470,양천구,목동10단지아파트 재건축정비사업,재건축,조합설립인가,신정동 311,103.3
2771,목동9단지,11470,양천구,목동9단지아파트 재건축정비사업,재건축,조합설립인가,신정동 312,179.7
2785,목동8단지,11470,양천구,목동8단지아파트 재건축정비사업조합,재건축,조합설립인가,신정동 314,87.4
2792,목동11단지,11470,양천구,목동11단지아파트 재건축정비사업,재건축,조합설립인가,신정동 325,150.5
2793,목동12단지,11470,양천구,목동12단지아파트 재건축정비사업,재건축,조합설립인가,신정동 326,222.5
2786,목동13단지,11470,양천구,목동13단지아파트 재건축정비사업,재건축,조합설립인가,신정동 327,152.8
2758,신정대성유니드1차아파트,11470,양천구,신정4재정비촉진구역 재건축정비사업조합,재건축,관리처분인가,신정동 1200-1,73.8
2778,신정e-편한세상,11470,양천구,신정수정아파트 재건축정비사업,재건축,관리처분인가,신정동 733-31,95.0
3405,당산한양,11560,영등포구,당산한양아파트 재건축정비사업,재건축,안전진단,당산동3가 2-6,81.1
3407,당산삼익,11560,영등포구,당산삼익 가로주택정비사업,가로주택정비,추진위원회승인,당산동3가 394,29.8
3412,당산현대3차,11560,영등포구,당산현대3차아파트 재건축정비사업,재건축,안전진단,당산동4가 88,104.2
3407,당산삼익,11560,영등포구,당산현대2차아파트 소규모재건축정비사업조합,소규모재건축,관리처분인가,당산동4가 92,131.5
3420,당산유원제일2차,11560,영등포구,78. 유원제일2차아파트 재건축정비사업,재건축,정비계획 수립,당산동5가 7-2,58.4
3420,당산유원제일2차,11560,영등포구,유원제일2차아파트 재건축정비사업조합,재건축,사업시행인가,당산동5가 7-2,58.4
3528,대림우성,11560,영등포구,대림우성아파트 재건축정비사업,재건축,안전진단,대림동 696,122.1
3429,문래남성,11560,영등포구,남성아파트 주택재건축정비사업조합,재건축,사업시행인가,문래동2가 35,50.3
3435,문래국화,11560,영등포구,문래국화아파트 주택재건축정비사업,재건축,추진위원회승인,문래동3가 76-1,47.7
3435,문래국화,11560,영등포구,문래국화아파트 재건축정비사업,재건축,조합설립인가,문래동3가 76-1,47.7
3436,문래공원한신,11560,영등포구,문래공원한신아파트 재건축정비사업,재건축,안전진단,문래동3가 77-2,47.5
3444,문래두산위브,11560,영등포구,문래진주아파트 주택재건축정비사업조합,재건축,관리처분인가,문래동5가 22,74.9
3490,신미아파트,11560,영등포구,신길13재정비촉진구역,재건축,사업시행인가,신길동 340-1,50.9
3497,신길건영,11560,영등포구,신길건영아파트 재건축정비사업,재건축,추진위원회승인,신길동 364,193.5
3498,신길1차우성아파트,11560,영등포구,신길우성1차아파트 재건축정비사업,재건축,추진위원회승인,신길동 365,125.8
3491,래미안에스티움,11560,영등포구,신길10재정비촉진구역 주택재건축정비사업 사업시행자(한국토지신탁),재건축,관리처분인가,신길동 3590,127.2
3509,신길우성3차아파트,11560,영등포구,신길우성3차아파트 재건축정비사업,재건축,안전진단,신길동 4656,35.7
3503,신길삼성,11560,영등포구,삼성아파트 주택재건축정비사업조합,재건축,조합설립인가,신길동 4759,49.8
3458,양평신동아아파트,11560,영등포구,신동아아파트 주택재건축정비사업조합,재건축,조합설립인가,양평동1가 20,45.8
3470,양평현대2차,11560,영등포구,양평현대2차아파트 재건축정비사업,재건축,안전진단,양평동3가 79-4,47.8
3370,여의도초원,11560,영등포구,초원아파트 재건축정비사업,재건축,안전진단,여의도동 11-1,9.0
3371,서울아파트관리사무소,11560,영등포구,서울아파트 재건축정비사업,재건축,안전진단,여의도동 21-1,34.7
3375,여의도공작,11560,영등포구,여의도 공작아파트 재건축정비사업,재건축,조합설립인가,여의도동 21-2,41.0
3377,여의도광장,11560,영등포구,여의도 광장아파트 28주택재건축정비사업,재건축,조합설립인가,여의도동 28,101.5
3381,여의도목화,11560,영등포구,여의도 목화아파트 주택재건축정비사업조합,재건축,조합설립인가,여의도동 30,24.7
3381,여의도목화,11560,영등포구,삼부아파트 주택재건축정비사업조합설립추진위원회,재건축,추진위원회승인,여의도동 30-2,147.1
3374,여의도수정,11560,영등포구,여의도 수정아파트 주택재건축정비사업,재건축,정비구역지정,여의도동 32,32.6
3383,여의도미성,11560,영등포구,미성아파트 주택재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,여의도동 37,52.6
