kind,sido,sigungu,name,area_k_m2,industry_k_m2,designated,note,source_file
도시첨단,울산,중구,울산장현도시첨단산업단지,317,133,2021-08-25,,한국산업단지공단_전국산업단지현황통계_20210930.xlsx
농공,충남,공주시,제이팜스농공단지,45,30,2021-09-01,,한국산업단지공단_전국산업단지현황통계_20210930.xlsx
일반,충북,충주시,충주드림파크산업단지,1698,1064,2021-09-10,,한국산업단지공단_전국산업단지현황통계_20210930.xlsx
일반,충북,제천시,제천봉양일반산업단지,134,91,2021-09-24,,한국산업단지공단_전국산업단지현황통계_20210930.xlsx
일반,충북,청주시,청주한국전통공예촌복합문화산업단지,304,59,2021-10-22,,한국산업단지공단_전국산업단지현황통계_20211231.xlsx
일반,경남,김해시,하계일반산업단지,262,190,2021-10-22,,한국산업단지공단_전국산업단지현황통계_20211231.xlsx
일반,경기,이천시,이천유산일반산업단지,50,36,2021-11-08,,한국산업단지공단_전국산업단지현황통계_20211231.xlsx
일반,경북,영천시,대창일반산업단지,460,324,2021-11-11,,한국산업단지공단_전국산업단지현황통계_20211231.xlsx
일반,충북,진천군,진천테크노폴리스산업단지,774,535,2021-11-12,,한국산업단지공단_전국산업단지현황통계_20211231.xlsx
일반,충남,천안시,천안제6일반산업단지,967,609,2021-11-26,,한국산업단지공단_전국산업단지현황통계_20211231.xlsx
도시첨단,경기,양주시,경기양주테크노밸리도시첨단산업단지,218,103,2021-12-27,,한국산업단지공단_전국산업단지현황통계_20211231.xlsx
도시첨단,대전,유성구,대전장대도시첨단산업단지,73,24,2021-12-31,,한국산업단지공단_전국산업단지현황통계_20211231.xlsx
일반,충남,서산시,현대대죽2일반산업단지,681,573,2022-01-10,,한국산업단지공단_전국산업단지현황통계_20220331.xlsx
도시첨단,강원,홍천군,홍천도시첨단산업단지,46,24,2022-02-24,,한국산업단지공단_전국산업단지현황통계_20220331.xlsx
일반,강원,강릉시,"옥계첨단소재융합일반산업단지
(동해안권경제자유구역)",383,201,2022-03-04,,한국산업단지공단_전국산업단지현황통계_20220331.xlsx
일반,충남,예산군,예당2일반산업단지,719,506,2022-03-21,,한국산업단지공단_전국산업단지현황통계_20220331.xlsx
