complex_id,complex_name,lawd_cd,region,project_name,project_type,option_stage,option_stage_label,stage_verification,stage_source,stage_label_raw,match_meters,existing_far,existing_households,site_area,land_share,base_allowed_far,policy_allowed_far,upside_allowed_far,estimated_new_households,member_households,general_sale_units,general_sale_ratio,estimated_member_contribution,contribution_status,years_to_next_stage,years_to_completion,project_probability,probability_status,base_case_liquid_exit,project_case_liquid_exit,upside_case_liquid_exit,base_terminal_wealth,project_terminal_wealth,upside_terminal_wealth,net_project_upside,option_value,option_already_priced_ratio,option_data_confidence,option_research_status,option_research_priority
7644,e편한세상 시흥 더블스퀘어 아파트,41390,경기,대야3,재건축,7,CONSTRUCTION,VERIFIED,경기데이터드림 정비사업 추진현황,착공,53.9,180.0,1025.0,N/A,N/A,299.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.952,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED+CONVERSION_RATE,HIGH
5428,신곡신일1차,41150,경기,장암3구역,재개발,7,CONSTRUCTION,PROXY_MATCH,경기데이터드림 정비사업 추진현황,착공,276.1,N/A,460.0,N/A,N/A,300.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.952,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED+CONVERSION_RATE,HIGH
6065,철산 자이브리에르,41210,경기,"철산주공10,11단지",재건축,7,CONSTRUCTION,PROXY_MATCH,경기데이터드림 정비사업 추진현황,착공,191.8,85.0,1080.0,N/A,N/A,267.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.952,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED+CONVERSION_RATE,HIGH
6232,합정주공4단지,41220,경기,합정주공,재건축,7,CONSTRUCTION,PROXY_MATCH,경기데이터드림 정비사업 추진현황,착공,369.3,58.62002362026652,1374.0,N/A,87.27266081871345,299.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.952,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED+CONVERSION_RATE,HIGH
3246,개봉한진,11530,서울,길훈아파트 주택재건축정비사업조합,재건축,7,CONSTRUCTION,VERIFIED,서울 정비사업 정보몽땅,착공,142.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.855,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED+CONVERSION_RATE,HIGH
2989,등촌태진아름,11500,서울,등촌1구역주택재건축정비사업조합,재건축,7,CONSTRUCTION,VERIFIED,서울 정비사업 정보몽땅,착공,73.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.855,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED+CONVERSION_RATE,HIGH
3997,디에이치퍼스티어아이파크,11680,서울,개포1동주공아파트 주택재건축정비사업조합,재건축,7,CONSTRUCTION,VERIFIED,서울 정비사업 정보몽땅,착공,60.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.855,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED+CONVERSION_RATE,HIGH
3870,반포래미안트리니원,11650,서울,반포아파트(제3주구) 주택재건축정비사업 조합,재건축,7,CONSTRUCTION,VERIFIED,서울 정비사업 정보몽땅,착공,75.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.855,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED+CONVERSION_RATE,HIGH
3778,방배아트자이,11650,서울,방배삼익아파트 주택재건축정비사업조합,재건축,7,CONSTRUCTION,VERIFIED,서울 정비사업 정보몽땅,분양,93.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.855,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED+CONVERSION_RATE,HIGH
3834,블루힐하우스,11650,서울,신반포22차아파트 주택재건축정비사업조합,재건축,7,CONSTRUCTION,VERIFIED,서울 정비사업 정보몽땅,착공,87.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.855,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED+CONVERSION_RATE,HIGH
2445,새절역 두산위브트레지움,11380,서울,신사1 주택재건축정비사업 조합,재건축,7,CONSTRUCTION,VERIFIED,서울 정비사업 정보몽땅,착공,90.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,2.8,N/A,0.855,VERIFIED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED+CONVERSION_RATE,HIGH
