no,gu,biz_type,stage_now,zone,jibun,ara_id,location,households,정비구역지정,추진위,조합설립,사업시행인가,관리처분,착공,준공
33,부평구,주거환경개선,정비구역지정,일신동(현지개량),일신동 106-29,BARA_0000000000518,,,,,,,,,
32,계양구,주거환경개선,준공,작전구역(현지개량),작전동 646번지 일원,BARA_0000000000492,작전동 646번지 일원,0,20220913,,,20230105,,20231207,20260120
31,계양구,주택재개발,정비구역지정,작전동870번지일원 / 정비구역후보지(23년 2차),작전동 870번지 일원,BARA_0000000000470,작전동 870번지 일원,1,,,,,,,
30,계양구,주택재건축,관리처분,작전우영아파트구역,작전동 869-17번지 일원,BARA_0000000000149,작전동 869-17번지 일원,319,20070904,20130812,20201016,20220722,20241129,,
29,계양구,주택재개발,착공,작전현대아파트구역,작전동 439-7번지 일원,BARA_0000000000146,산곡동 307외 9필지,,20090427,20070205,20090623,20110125,20191029,20230904,
28,미추홀구,주택재개발,착공,전도관구역,숭의동 109-119번지 일원,BARA_0000000000040,"숭의3동 109번지 일원(69,429)",1116,20080506,20041216,20081128,20120116,20201116,20240531,
27,제물포구,주거환경개선,준공,전동웃터골(현지개량),중구 전동 32-1번지 일원,BARA_0000000000478,중구 전동 32-1번지 일원,0,20210322,,,20240527,,20221209,20250825
26,미추홀구,재정비촉진,조합설립인가,주안11구역,주안4동 431-1 일원,BARA_0000000000546,,,,,,,,,
25,미추홀구,주택재개발,준공,주안4구역,주안동 1577번지 일원,BARA_0000000000042,주안동 1577번지 일원,1,20061226,20090406,20100520,20130527,20170123,20190531,20220728
24,미추홀구,주택재개발,정비구역지정,주안5동 / 정비구역후보지(23년 2차),주안동 20-15번지 일원,BARA_0000000000442,주안동 20-15번지 일원,1,,,,,,,
23,미추홀구,주택재개발,정비구역지정,주안8동 / 정비구역후보지(23년 2차),주안동 1490-3 번지 일원,BARA_0000000000443,주안동 1490-3 번지 일원,1,,20260416,,,,,
22,미추홀구,주택재개발,정비구역지정,주안남초1 / 정비구역후보지(23년 1차),주안동 1520-37번지 일원,BARA_0000000000439,주안동 1520-37번지 일원,1,,,,,,,
