emd_cd10,sido_cd,sgg_cd,ym,workplaces,insured,notice_amount,file
4159125324,41,41591,2026-0,94,9393,4169010280, 내역_20260825
1144012400,11,11440,2026-0,301,3333,1078233900, 내역_20260825
1171010300,11,11710,2026-0,183,11656,5938522280, 내역_20260825
4143010900,41,41430,2026-0,390,4658,1660181720, 내역_20260825
1111015700,11,11110,2026-0,53,6850,3125396980, 내역_20260825
4150031027,41,41500,2026-0,17,451,173620720, 내역_20260825
1111014700,11,11110,2026-0,29,1231,513879240, 내역_20260825
1120010800,11,11200,2026-0,17,155,42872200, 내역_20260825
4148010900,41,41480,2026-0,108,1482,424639720, 내역_20260825
1114011400,11,11140,2026-0,101,24070,12660037120, 내역_20260825
4122025623,41,41220,2026-0,82,4229,2188911140, 내역_20260825
1111018700,11,11110,2026-0,20,754,251306180, 내역_20260825
4113111300,41,41131,2026-0,33,249,77864740, 내역_20260825
1156010800,11,11560,2026-0,168,3191,1182632260, 내역_20260825
4161010200,41,41610,2026-0,58,968,291302000, 내역_20260825
4111313700,41,41113,2026-0,356,7458,2656379580, 내역_20260825
4128112900,41,41281,2026-0,78,914,238962340, 내역_20260825
4146310800,41,41463,2026-0,172,4159,1495359080, 내역_20260825
4167025026,41,41670,2026-0,9,87,32237820, 내역_20260825
4148031023,41,41480,2026-0,222,3858,1438200220, 내역_20260825
1165011100,11,11650,2026-0,96,995,329557000, 내역_20260825
1114017300,11,11140,2026-0,53,718,263756060, 내역_20260825
4161025924,41,41610,2026-0,37,476,182358800, 내역_20260825
1129011700,11,11290,2026-0,17,177,66449800, 내역_20260825
4128510600,41,41285,2026-0,629,10284,3718882360, 내역_20260825
1114012100,11,11140,2026-0,88,15925,8828264700, 내역_20260825
4128110100,41,41281,2026-0,133,2495,799113520, 내역_20260825
4128113000,41,41281,2026-0,70,574,200687980, 내역_20260825
1114013100,11,11140,2026-0,25,2276,1242111940, 내역_20260825
1114012600,11,11140,2026-0,98,2573,1032689140, 내역_20260825
1114015000,11,11140,2026-0,66,10494,4945941820, 내역_20260825
1114013900,11,11140,2026-0,94,2861,716606400, 내역_20260825
1114010100,11,11140,2026-0,160,1835,700203380, 내역_20260825
4148025325,41,41480,2026-0,63,643,208440240, 내역_20260825
1111014100,11,11110,2026-0,57,909,300304140, 내역_20260825
4119410400,41,41194,2026-0,155,1986,604774440, 내역_20260825
1114013500,11,11140,2026-0,54,525,185787100, 내역_20260825
1144010800,11,11440,2026-0,112,1618,585689560, 내역_20260825
1111012200,11,11110,2026-0,150,21792,11421294800, 내역_20260825
1141010300,11,11410,2026-0,27,323,102668200, 내역_20260825
4148011900,41,41480,2026-0,62,564,168974480, 내역_20260825
1111011300,11,11110,2026-0,33,723,244574300, 내역_20260825
1144011300,11,11440,2026-0,28,211,70428800, 내역_20260825
1114014500,11,11140,2026-0,57,1436,583542980, 내역_20260825
4111514000,41,41115,2026-0,166,2641,922654400, 내역_20260825
1144010300,11,11440,2026-0,77,1734,792744460, 내역_20260825
4155033023,41,41550,2026-0,22,486,165189160, 내역_20260825
4146311800,41,41463,2026-0,304,8504,3532383880, 내역_20260825
1114010900,11,11140,2026-0,92,5296,2843908480, 내역_20260825
4146510300,41,41465,2026-0,365,16038,5602298260, 내역_20260825
4150010500,41,41500,2026-0,12,326,115214500, 내역_20260825
1117011800,11,11170,2026-0,43,615,212035000, 내역_20260825
1121510900,11,11215,2026-0,185,3467,965033260, 내역_20260825
1117011900,11,11170,2026-0,96,1205,388935260, 내역_20260825
1144011000,11,11440,2026-0,109,3485,1088154420, 내역_20260825
1117010500,11,11170,2026-0,62,2071,793697900, 내역_20260825
1129013600,11,11290,2026-0,204,5771,1800398720, 내역_20260825
4150031021,41,41500,2026-0,24,604,218220400, 내역_20260825
