complex_id,pnu,bldNm,platArea,archArea,totArea,vlRatEstmTotArea,vlRat,bcRat,hhldCnt,mainBldCnt,useAprDay,n_items
1943,1129013900104100000,래미안 아트리치,42032.1,9213.19,167606.11,102773.68,244.51,21.92,1091,15,20190228,1
1945,1129013900100100000,두산아파트,72210.8,12798.23,212273.17,200407.7,277.53,17.72,1998,28,19980418,1
1958,1130510100113690000,꿈의숲 해링턴 플레이스,46655.7,12847.87,163778.6,101576.65,217.71,27.53,1028,19,20190930,1
1961,1130510100113570000,삼각산아이원아파트,57531.4,9652.3,199187.119,147447.168,256.29,16.78,1344,20,20031230,1
1963,1130510100113530000,에스케이북한산시티아파트,144296.6,25581.94,535994.1,391378.87,271.23,17.73,3830,49,20040507,1
1964,1130510100113540002,,,,,,,,,,,0
1967,1130510100108120000,삼성래미안트리베라아파트,54047.7,9533.16,193459.23,129246.96,239.13,17.64,1330,26, ,1
1968,1130510100108130001,,,,,,,,,,,0
1970,1130510100113530000,에스케이북한산시티아파트,144296.6,25581.94,535994.1,391378.87,271.23,17.73,3830,49,20040507,1
1972,1130510100108110000,두산위브트레지움아파트,61406,11712.35,205840.32,136763.05,223.09,19.11,1370,26,20111031,1
1979,1130510200102420000,번동주공아파트1단지,0,9102.24,107680.92,100422.74,0,0,1430,14, ,1
1989,1130510200102410000,번동주공영구임대아파트2단지,0,0.0,0.0,0.0,0,0,1778,11, ,1
1991,1130510200102370000,번동주공아파트(3단지),37954,7474.34,82111.87,60893.84,197.17,19.69,1560,9, ,1
1994,1130510200102290000,번동주공아파트5단지,46649.3,4662.14,59489.29,0.0,127.52,9.994,1129,9, ,1
2002,1130510300102050000,수유벽산아파트,67045.8,14480.9,172542.97,157369.9,234.72,21.6,1454,15, ,1
2029,1132010500100590000,한양아파트,0,0.0,115245.903,0.0,0,0,1635,10, ,1
2031,1132010500100560000,삼익세라믹아파트,0,0.0,123655.35,0.0,0,0,1541,16, ,1
2044,1132010600107200001,대상타운현대아파트,50678,10022.51,231893.63,152692.49,301.3,19.78,1278,18,20011029,1
2051,1132010600102710004, ,0,0.0,43483.02,0.0,0,0,344,5, ,2
2074,1132010700100450000,삼성아파트,66419.3,10553.44,190454.805,0.0,249.74,15.94,1668,20, ,1
2075,1132010700103730000,창동4단지주공아파트,0,0.0,50250.34,0.0,0,0,870,5, ,1
2076,1132010700103470000,창동주공아파트,0,0.0,236098.36,0.0,0,0,2626,24, ,1
2085,1132010700108070000,쌍용아파트,48216.1,9543.86,179506.08,0.0,292.27,20.06,1352,17, ,1
2086,1132010700100380000,주공아파트,0,0.0,109973.6,0.0,0,0,1980,13, ,1
2087,1132010700108080000,동아청솔아파트,80509.9,13536.38,249804.22,0.0,0,16.81,1981,20, ,1
2095,1132010700108250000,북한산아이파크,85445.5,17038.009,395670.6179,286429.9064,335.22,19.94,2061,25,20040730,1
2100,1132010700100270000,주공아파트,0,0.0,83119.37,0.0,0,0,780,8, ,1
2117,1132010800106410000,서원아파트,56619.48,11496.69,155488.34,0.0,246.82,20.3,2450,17, ,1
2118,1132010800100300001,도봉한신아파트,94880.4,19710.94,356618.55,269096.96,283.62,20.77,2678,28, ,1
2137,1135010200109290000,현대아파트,41297.3,8612.72,174649.34,132490.56,320.82,20.85,1376,11,20001125,1
