bnhhSe,cddcCode,cddcNm,changeDate,creatDate,edcSport,edcSportNm,fondDate,fondType,insttCode,insttNm,latitude,lnmadr,longitude,operSttus,rdnmadr,referenceDate,schoolId,schoolNm,schoolSe
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7331000,인천광역시북부교육지원청,1957-04-10,국립,B554398,한국교육시설안전원,37.53764346,인천광역시 계양구 효성동 산19-1,126.7125071,운영,인천광역시 계양구 안남로 612,2026-03-20,B000003106,경인교육대학교부설초등학교,초등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7561000,경기도의정부교육지원청,1970-06-01,사립,B554398,한국교육시설안전원,37.73587133,경기도 의정부시 용현동 산33-1,127.0749104,운영,경기도 의정부시 시민로 363,2026-03-20,B000012717,동국대학교사범대학부속영석고등학교,고등학교
본교,8000000,충청북도교육청,2025-10-25,2013-11-29,8031000,충청북도제천교육지원청,2001-03-01,공립,B554398,한국교육시설안전원,36.90770944,충청북도 제천시 덕산면 도전리 422-1,128.1700912,운영,충청북도 제천시 덕산면 약초로 133,2026-03-20,B000009948,제천덕산중학교,중학교
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7341000,인천광역시동부교육지원청,1994-03-01,공립,B554398,한국교육시설안전원,37.40899233,인천광역시 연수구 동춘동 923-7,126.6773207,운영,인천광역시 연수구 원인재로 105,2026-03-20,B000008818,연성중학교,중학교
본교,8321000,전북특별자치도교육청,2025-10-25,2013-11-29,8342000,전북특별자치도군산교육지원청,1962-03-01,사립,B554398,한국교육시설안전원,36.00197655,전북특별자치도 군산시 성산면 도암리 608-8,126.7849803,운영,전북특별자치도 군산시 성산면 군장대길 13,2026-03-20,B000013566,군산중앙고등학교,고등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7569000,경기도안양과천교육지원청,1992-09-01,공립,B554398,한국교육시설안전원,37.3816429,경기도 안양시 동안구 호계동 1056-5,126.9569687,운영,경기도 안양시 동안구 동안로 26,2026-03-20,B000003873,안양신기초등학교,초등학교
본교,8321000,전북특별자치도교육청,2025-10-25,2013-11-29,8452000,전북특별자치도고창교육지원청,1929-07-08,공립,B554398,한국교육시설안전원,35.3768941,전북특별자치도 고창군 공음면 칠암리 519,126.5114306,운영,전북특별자치도 고창군 공음면 공음길 20,2026-03-20,B000006344,공음초등학교,초등학교
본교,7240000,대구광역시교육청,2025-10-25,2013-11-29,7271000,대구광역시남부교육지원청,1981-11-30,사립,B554398,한국교육시설안전원,35.83112106,대구광역시 달서구 송현동 540,128.5462157,운영,대구광역시 달서구 송현로 156,2026-03-20,B000008737,송현여자중학교,중학교
본교,9010000,경상남도교육청,2025-10-25,2013-11-29,9091000,경상남도김해교육지원청,1998-03-01,공립,B554398,한국교육시설안전원,35.23185637,경상남도 김해시 외동 1249-1,128.8618172,운영,경상남도 김해시 우암로 18,2026-03-20,B000013353,김해경원고등학교,고등학교
본교,7010000,서울특별시교육청,2025-10-25,2013-11-29,7132000,서울특별시동작관악교육지원청,1972-05-13,공립,B554398,한국교육시설안전원,37.47032734,서울특별시 관악구 신림동 133,126.946004,운영,서울특별시 관악구 신림로 40,2026-03-20,B000008401,신림중학교,중학교
본교,8490000,전라남도교육청,2025-10-25,2013-11-29,8551000,전라남도광양교육지원청,2003-03-01,공립,B554398,한국교육시설안전원,34.97577009,전라남도 광양시 광양읍 용강리 608,127.6104747,운영,전라남도 광양시 광양읍 용강1길 40,2026-03-20,B000006561,광양용강초등학교,초등학교
